795530177980410100                                              201140    90665Whatcom County--Bellingham City PUMA
79653017798041010007301529224                                   201140    90665Whatcom County
79953017798041020005701531402             0199002409702940200     2181     1226Census Tract 9402 (part)
79953017798041020005701531402             0199002409702940300     1375      611Census Tract 9403 (part)
79953017798041020005701531402             0199002409702940400     6560     2886Census Tract 9404 (part)
79953017798041020005701531402             0199002409702940500     2467     1225Census Tract 9405
79953017798041020005701531402             0199002409702940600     1530      884Census Tract 9406 (part)
79953017798041020005701531402             0199002409702940700     1562      791Census Tract 9407
79953017798041020005701531402             0199002409702950100      103       57Census Tract 9501 (part)
79853017798041020005701531402             0479002407809            696      327Bay View CDP
79953017798041020005701531402             0479002407809951900      696      327Census Tract 9519 (part)
79853017798041020005701531402             0605002407841           1835      858Big Lake CDP
79953017798041020005701531402             0605002407841951200     1569      745Census Tract 9512 (part)
79953017798041020005701531402             0605002407841952402      266      113Census Tract 9524.02 (part)
79853017798041020005701531402             0892002409947           8388     3419Burlington city
79953017798041020005701531402             0892002409947951600     1024      424Census Tract 9516 (part)
79953017798041020005701531402             0892002409947951700     3654     1382Census Tract 9517 (part)
79953017798041020005701531402             0892002409947951800     3710     1613Census Tract 9518 (part)
79853017798041020005701531402             1284002407630           1002      439Clear Lake CDP
79953017798041020005701531402             1284002407630951300     1002      439Census Tract 9513 (part)
79853017798041020005701531402             1438002413237            705      358Concrete town
79953017798041020005701531402             1438002413237951100      705      358Census Tract 9511 (part)
79853017798041020005701531402             1452002407654             91       31Conway CDP
79953017798041020005701531402             1452002407654952700       91       31Census Tract 9527 (part)
79853017798041020005701531402             2068002408046            133       59Edison CDP
79953017798041020005701531402             2068002408046950800      133       59Census Tract 9508 (part)
79853017798041020005701531402             2925502412721            301      141Hamilton town
79953017798041020005701531402             2925502412721951000      301      141Census Tract 9510 (part)
79853017798041020005701531402             3678002412852            891      526La Conner town
79953017798041020005701531402             3678002412852952100      891      526Census Tract 9521 (part)
79853017798041020005701531402             3710502408535            167      458Lake Cavanaugh CDP
79953017798041020005701531402             3710502408535951200      167      458Census Tract 9512 (part)
79853017798041020005701531402             3752602408543            192      109Lake McMurray CDP
79953017798041020005701531402             3752602408543952700      192      109Census Tract 9527 (part)
79853017798041020005701531402             4077002412927            438      172Lyman town
79953017798041020005701531402             4077002412927951000      438      172Census Tract 9510 (part)
79853017798041020005701531402             4332502408175            203      136Marblemount CDP
79953017798041020005701531402             4332502408175951100      203      136Census Tract 9511 (part)
79853017798041020005701531402             4756002411183          31743    12058Mount Vernon city
79953017798041020005701531402             4756002411183952200     4075     1649Census Tract 9522 (part)
79953017798041020005701531402             4756002411183952301     4562     1529Census Tract 9523.01
79953017798041020005701531402             4756002411183952302     8331     3050Census Tract 9523.02 (part)
79953017798041020005701531402             4756002411183952401     2831     1163Census Tract 9524.01
79953017798041020005701531402             4756002411183952402     7046     2748Census Tract 9524.02 (part)
79953017798041020005701531402             4756002411183952500     3290     1295Census Tract 9525
79953017798041020005701531402             4756002411183952600     1608      624Census Tract 9526 (part)
79953017798041020005701531402             4756002411183952700        0        0Census Tract 9527 (part)
79853017798041020005701531402             5925002409196            109       62Rockport CDP
79953017798041020005701531402             5925002409196951100      109       62Census Tract 9511 (part)
79853017798041020005701531402             6321002411859          10540     4303Sedro-Woolley city
79953017798041020005701531402             6321002411859951400     3531     1401Census Tract 9514 (part)
79953017798041020005701531402             6321002411859951500     7009     2902Census Tract 9515 (part)
79853017798041020005701531402             9999999999999          43286    20161Remainder of Skagit County
79953017798041020005701531402             9999999999999940200        0        0Census Tract 9402 (part)
79953017798041020005701531402             9999999999999940300     3505     1785Census Tract 9403 (part)
79953017798041020005701531402             9999999999999940400      279      174Census Tract 9404 (part)
79953017798041020005701531402             9999999999999940600        0        0Census Tract 9406 (part)
79953017798041020005701531402             9999999999999940800     3010     1556Census Tract 9408
79953017798041020005701531402             9999999999999950100      770      938Census Tract 9501 (part)
79953017798041020005701531402             9999999999999950800     5479     2429Census Tract 9508 (part)
79953017798041020005701531402             9999999999999950900     4071     1498Census Tract 9509
79953017798041020005701531402             9999999999999951000     2082      937Census Tract 9510 (part)
79953017798041020005701531402             9999999999999951100     3698     2392Census Tract 9511 (part)
79953017798041020005701531402             9999999999999951200     1253      594Census Tract 9512 (part)
79953017798041020005701531402             9999999999999951300      851      380Census Tract 9513 (part)
79953017798041020005701531402             9999999999999951400      498      257Census Tract 9514 (part)
79953017798041020005701531402             9999999999999951500     2317      960Census Tract 9515 (part)
79953017798041020005701531402             9999999999999951600     3328     1175Census Tract 9516 (part)
79953017798041020005701531402             9999999999999951700       35       18Census Tract 9517 (part)
79953017798041020005701531402             9999999999999951800      708      277Census Tract 9518 (part)
79953017798041020005701531402             9999999999999951900     2823     1197Census Tract 9519 (part)
79953017798041020005701531402             9999999999999952100     2419     1032Census Tract 9521 (part)
79953017798041020005701531402             9999999999999952200       69       27Census Tract 9522 (part)
79953017798041020005701531402             9999999999999952302      391      147Census Tract 9523.02 (part)
79953017798041020005701531402             9999999999999952402       96       40Census Tract 9524.02 (part)
79953017798041020005701531402             9999999999999952600     2213      917Census Tract 9526 (part)
79953017798041020005701531402             9999999999999952700     3391     1431Census Tract 9527 (part)
79953017798041020005701531402             9999999999999990100        0        0Census Tract 9901
795530177980410300                                              110884    51469Chelan & Douglas Counties PUMA
79653017798041030000701531932                                    72453    35465Chelan County
79853017798041030000701531932             1049502409405           3063     1179Cashmere city
79953017798041030000701531932             1049502409405960500        0        0Census Tract 9605 (part)
79953017798041030000701531932             1049502409405960600     3063     1179Census Tract 9606 (part)
79853017798041030000701531932             1161502409440           3890     2516Chelan city
79953017798041030000701531932             1161502409440960300     3890     2516Census Tract 9603 (part)
79853017798041030000701531932             1168502586729            329      125Chelan Falls CDP
79953017798041030000701531932             1168502586729960300      329      125Census Tract 9603 (part)
79853017798041030000701531932             2201002410447           1112      495Entiat city
79953017798041030000701531932             2201002410447960100     1112      495Census Tract 9601 (part)
79853017798041030000701531932             3884502410814           1965     1241Leavenworth city
79953017798041030000701531932             3884502410814960200     1965     1241Census Tract 9602 (part)
79853017798041030000701531932             4283502586739           1468      938Manson CDP
79953017798041030000701531932             4283502586739960400     1468      938Census Tract 9604 (part)
79853017798041030000701531932             6618502408777           1553      493South Wenatchee CDP
79953017798041030000701531932             6618502408777961100     1509      473Census Tract 9611 (part)
79953017798041030000701531932             6618502408777961200       44       20Census Tract 9612 (part)
79853017798041030000701531932             6878502410032           3252     1228Sunnyslope CDP
79953017798041030000701531932             6878502410032960700     3252     1228Census Tract 9607 (part)
79853017798041030000701531932             7710502412212          31925    13175Wenatchee city
79953017798041030000701531932             7710502412212960801     2186      925Census Tract 9608.01 (part)
79953017798041030000701531932             7710502412212960802     6442     2870Census Tract 9608.02 (part)
79953017798041030000701531932             7710502412212961000     6800     2875Census Tract 9610
79953017798041030000701531932             7710502412212961100     7971     2737Census Tract 9611 (part)
79953017798041030000701531932             7710502412212961200        8        2Census Tract 9612 (part)
79953017798041030000701531932             7710502412212961301     1231      540Census Tract 9613.01 (part)
79953017798041030000701531932             7710502412212961302     7287     3226Census Tract 9613.02 (part)
79853017798041030000701531932             9999999999999          23896    14075Remainder of Chelan County
79953017798041030000701531932             9999999999999960100     1257      904Census Tract 9601 (part)
79953017798041030000701531932             9999999999999960200     4286     4220Census Tract 9602 (part)
79953017798041030000701531932             9999999999999960300     2177     1929Census Tract 9603 (part)
79953017798041030000701531932             9999999999999960400     2345     1256Census Tract 9604 (part)
79953017798041030000701531932             9999999999999960500     6831     2890Census Tract 9605 (part)
79953017798041030000701531932             9999999999999960600     1001      435Census Tract 9606 (part)
79953017798041030000701531932             9999999999999960700      203       98Census Tract 9607 (part)
79953017798041030000701531932             9999999999999960801      480      190Census Tract 9608.01 (part)
79953017798041030000701531932             9999999999999960802      760      329Census Tract 9608.02 (part)
79953017798041030000701531932             9999999999999961100      116       46Census Tract 9611 (part)
79953017798041030000701531932             9999999999999961200     3710     1485Census Tract 9612 (part)
79953017798041030000701531932             9999999999999961301       96       45Census Tract 9613.01 (part)
79953017798041030000701531932             9999999999999961302      634      248Census Tract 9613.02 (part)
79653017798041030001701531818                                    38431    16004Douglas County
79853017798041030001701531818             0787002409908           2409      745Bridgeport city
79953017798041030001701531818             0787002409908950100     2409      745Census Tract 9501 (part)
79853017798041030001701531818             1511502413249            187       94Coulee Dam town (part)
79953017798041030001701531818             1511502413249950100      187       94Census Tract 9501 (part)
79853017798041030001701531818             2015502410391          13190     5275East Wenatchee city
79953017798041030001701531818             2015502410391950400      581      248Census Tract 9504 (part)
79953017798041030001701531818             2015502410391950500     3264     1455Census Tract 9505 (part)
